Item,Arousal.Mean,Arousal.SD,Arousal.N,Arousal.Min,Arousal.Max,Arousal.Unknown,Concreteness.Mean,Concreteness.SD,Concreteness.N,Concreteness.Min,Concreteness.Max,Concreteness.Unknown,Embodiment.Mean,Embodiment.SD,Embodiment.N,Embodiment.Min,Embodiment.Max,Embodiment.Unknown,Imageability.Mean,Imageability.SD,Imageability.N,Imageability.Min,Imageability.Max,Imageability.Unknown,Valence.Mean,Valence.SD,Valence.N,Valence.Min,Valence.Max,Valence.Unknown
abase,4.7,1.06,10,2,6,11,2.62,0.92,8,1,4,17,3.44,1.42,9,2,6,18,2.56,1.13,9,1,4,16,3.5,1.51,14,1,5,15
abate,4.43,1.34,14,2,7,7,2,1,11,1,4,14,2.53,1.25,15,1,4,12,1.75,1.14,12,1,5,14,4.62,1.36,16,2,7,13
abbreviate,3.89,1.68,18,1,6,NA,2.24,1.33,25,1,4,NA,2,1.2,47,1,6,2,3.43,2.06,30,1,7,NA,5.33,1.08,33,2,7,1
abdicate,5.8,1.32,10,4,9,11,2,1.17,17,1,5,8,2.8,1.74,15,1,6,11,3.56,2.48,18,1,7,7,4.53,1.46,17,2,8,12
abduct,7.74,1.48,19,5,9,1,4.35,0.65,23,3,5,NA,5.15,1.83,26,1,7,1,6.16,1.31,25,2,7,NA,1.94,1.24,31,1,5,NA
abet,4.29,1.6,7,2,6,8,2.2,0.84,5,1,3,20,2.38,1.41,8,1,5,18,2.6,1.51,10,1,6,21,3.5,2,8,1,6,24
abhor,6.44,1.33,9,5,9,16,1.9,0.99,10,1,4,18,1.75,1.22,12,1,5,14,3,2.09,12,1,7,16,2.57,1.91,14,1,5,18
abide,3.8,1.4,20,1,6,1,2.48,1.22,27,1,5,2,3.23,1.75,26,1,7,2,3.03,1.68,31,1,7,1,5.4,1.45,30,3,9,2
abolish,7.19,1.12,21,5,9,NA,2.32,1.25,22,1,5,NA,2.5,1.56,24,1,6,NA,3.7,1.99,30,1,7,NA,3.34,1.78,29,1,7,NA
abominate,7.15,1.23,20,4,9,2,2.09,1.15,22,1,4,4,2.6,1.54,20,1,6,3,3,1.7,21,1,7,3,3,1.53,24,1,6,5
abort,6.4,1.6,20,3,9,1,3.26,1.18,23,1,5,NA,4.54,2.02,26,1,7,NA,4.27,2.11,26,1,7,NA,3.5,1.48,28,1,6,NA
abound,4.63,1.74,19,1,8,7,1.67,1.14,18,1,5,6,1.85,1.09,20,1,5,3,2.52,1.63,21,1,7,5,5.73,1.32,22,4,9,7
abounding,5.5,1.46,16,3,8,2,1.93,0.83,14,1,3,11,2.94,1.72,34,1,7,15,3.14,1.8,21,1,6,9,5.96,1.59,25,2,9,9
abridged,4.58,1.93,12,1,8,8,2.41,1.42,17,1,5,8,2.26,1.1,19,1,4,11,2.33,1.35,15,1,5,11,4.94,0.44,16,4,6,14
abrogate,5,0.89,6,4,6,17,2,0.87,9,1,3,17,2.5,1.05,6,1,4,19,2.86,1.68,7,1,6,17,4.4,0.84,10,3,6,21
abscond,6,1.73,5,5,9,16,2,1.55,6,1,5,19,3.5,2.02,12,1,7,14,3.11,2.15,9,1,7,16,3.27,1.68,11,1,5,18
absolve,4.81,1.91,16,1,9,4,2.14,1.24,21,1,5,4,2.78,1.83,27,1,7,3,2.43,1.33,21,1,5,5,6.22,1.54,23,4,9,7
absorb,4.11,2.4,19,1,9,NA,3.54,1.32,24,1,5,NA,3.48,1.83,21,1,7,NA,5.76,1.83,29,1,7,NA,5.52,0.99,29,4,8,NA
abstain,4.89,2.35,18,1,9,1,2.64,1.22,25,1,5,3,4.12,1.74,25,1,7,3,3.76,2.2,25,1,7,2,3.96,1.77,25,1,8,5
abuse,7.28,1.72,25,3,9,NA,4.07,0.94,28,2,5,NA,5.73,1.28,26,3,7,NA,6.18,1.22,28,3,7,NA,1,0,32,1,1,NA
abut,5.17,0.41,6,5,6,19,3,2,5,1,5,23,3.71,1.98,7,1,6,19,2.67,1.86,6,1,6,22,5.11,0.33,9,5,6,23
accede,5.44,1.01,9,4,7,10,1.82,0.75,11,1,3,12,2.67,1.76,15,1,7,12,2.3,1.25,10,1,5,15,5.83,1.47,12,4,9,19
accelerate,7.8,1.08,15,6,9,NA,3.92,1.08,25,2,5,NA,3.62,2.1,26,1,7,NA,5.35,1.85,31,1,7,NA,6.47,1.22,32,3,9,NA
accelerated,6.89,1.91,18,1,9,NA,3.27,1.28,26,1,5,NA,4,1.93,23,1,7,NA,5.36,1.63,25,1,7,NA,6.15,1.23,27,4,9,NA
accentuate,5.55,1.64,20,3,9,5,2.41,1.05,22,1,5,6,3.24,1.76,21,1,7,5,3.15,1.95,26,1,7,2,6.11,1.1,28,5,9,4
accept,4.35,2.23,20,1,9,NA,2.6,1.41,25,1,5,NA,3.3,1.9,30,1,7,NA,3.62,1.72,26,1,7,NA,7.37,1.45,30,5,9,NA
acclimate,4.24,1.84,21,1,7,3,2.33,1.27,24,1,5,5,3.57,1.95,23,1,7,4,2.64,1.79,22,1,6,6,5.79,1.28,24,3,9,6
accommodate,4.1,2.1,21,1,9,NA,2.52,1.19,25,1,5,NA,2.96,1.84,26,1,6,NA,3.6,1.83,25,1,7,NA,6.86,1.51,28,3,9,1
accompany,3.82,2.19,17,1,8,NA,3.46,1.25,24,1,5,NA,4.6,2.08,25,1,7,NA,5.11,1.97,28,1,7,NA,6.72,1.28,29,5,9,NA
accomplish,7.63,1.61,19,3,9,NA,2,1.12,25,1,4,NA,3.43,2.13,23,1,7,NA,3.57,1.77,28,1,6,NA,8.44,0.85,27,6,9,NA
accost,6,2.74,9,1,9,7,2.71,1.77,14,1,5,11,3.33,2.06,15,1,7,9,3.94,2.32,16,1,7,7,4.13,1.46,15,1,6,13
accosted,6.29,1.38,7,5,8,8,2.88,1.36,8,1,5,17,3.4,1.96,10,1,7,16,3.36,2.06,14,1,7,17,4.75,1.06,12,3,7,20
accredited,5.39,1.72,18,2,9,NA,2.04,0.98,23,1,4,2,2.13,1.28,46,1,6,3,3.03,1.92,30,1,7,NA,5.61,2.01,33,1,9,1
accrue,5.38,1.3,8,4,8,7,2.38,0.92,8,1,4,17,2.88,2.23,8,1,7,18,3,1.9,11,1,7,20,4.64,1.78,14,2,8,18
accumulate,6,1.94,18,1,9,NA,3.29,1.56,28,1,5,NA,3.48,2.02,25,1,7,NA,5.24,1.99,29,1,7,NA,5.97,1.63,30,1,9,NA
accuse,7.14,1.24,21,4,9,NA,2.48,1.08,23,1,4,NA,3.5,1.96,26,1,7,NA,4,2.17,26,1,7,NA,2.18,1.19,28,1,5,NA
accustom,3.35,1.6,20,1,5,NA,1.62,0.97,24,1,4,1,2.29,1.63,24,1,6,NA,1.52,0.79,23,1,4,2,5.93,1.44,29,3,9,NA
achieve,6.68,2.21,19,1,9,NA,2.22,1.09,23,1,4,NA,3.63,1.86,27,1,7,NA,4.08,1.8,25,1,7,NA,8.4,0.72,30,7,9,NA
acknowledge,4.17,2.31,18,1,8,NA,2.19,1.23,26,1,5,NA,3.74,1.91,23,1,7,NA,3.56,1.98,25,1,7,NA,6.96,1.4,27,5,9,NA
acquaint,4.43,1.43,21,2,8,NA,2.14,0.94,22,1,4,NA,3.43,1.83,23,1,7,1,2.87,1.63,30,1,6,NA,6.21,1.37,29,3,9,NA
acquiesce,4,1.58,9,1,5,15,1.94,1.18,16,1,5,13,2.94,1.88,16,1,7,11,2.47,1.3,15,1,5,13,5.06,1.57,16,2,9,14
